"","file","object_id","tabular","semantic","definition_list","header_row","header_column","rule_1_violation","rule_2_violation","rule_3_violation","rule_4_violation","violations_sum"
"4416","1577883-6",11387,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4417","1578446-4",20044,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4418","1578501-18",3671,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4419","1577840-8",17140,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"4420","1578010-4",5271,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4421","1577752-5",2153,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4422","1577989-5",5637,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4423","1577920-12",15118,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
"4424","1578048-1",2210,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4425","1578158-15",23657,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4426","1578308-1",847,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4427","1578253-14",9779,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"4428","1578446-15",66792,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4429","1578501-13",2633,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4430","1578446-12",57558,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4431","1578554-11",9287,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4432","1578501-1",266,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4433","1578308-3",2974,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4434","1578511-4",10713,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0
"4435","1578524-4",16888,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4436","1578326-9",31968,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4437","1578317-1",2253,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"4438","1578472-4",1513,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4439","1578531-7",14729,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4440","1578493-11",2289,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4441","1578499-4",3821,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"4442","1578533-12",2931,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4443","1578433-6",33890,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"4444","1578534-8",3370,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4445","1578555-18",49689,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4446","1578554-12",10041,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4447","1578501-10",1956,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4448","1578519-7",26289,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4449","1578511-2",6114,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4450","1578532-1",661,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"4451","1578579-13",9115,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4452","1578622-9",6859,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4453","1578540-2",9008,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"4454","1578624-14",19737,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"4455","1578602-3",17889,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4456","1578601-6",2355,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4457","1578622-8",5794,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4458","1578804-1",4031,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4459","1578651-5",2410,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"4460","1578016-12",30734,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4461","1578039-4",10004,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"4462","1578166-9",2530,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"4463","1578178-11",13902,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4464","1578182-1",2730,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4465","1578423-11",14142,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4466","1578658-6",5902,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4467","1578303-0",110,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4468","1578159-14",1837,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4469","1578316-3",8890,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"4470","1578682-2",2469,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4471","1578816-4",17238,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,1
"4472","1578620-6",6370,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4473","1578586-10",2003,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4474","1578493-7",1554,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"4475","1578579-11",7059,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"4476","1578621-2",990,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"4477","1578579-6",3668,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4478","1578801-5",3597,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4479","1578644-12",21975,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4480","1579126-8",4322,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4481","1578795-3",2294,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4482","1578834-6",3082,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4483","1578832-1",3651,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4484","1578801-4",3385,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4485","1578883-13",12254,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4486","1578832-6",13304,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4487","1578794-0",188,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"4488","1579003-14",17641,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4489","1579001-0",473,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"4490","1578966-7",3977,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"4491","1579232-7",3049,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,1,1
"4492","1578839-1",880,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
